p_exposure,p_automatable,rationale,raw_ok,job_id,model,provider,construct_target
0.02,0.62,"Biomanufacturing floor role under cGMP; no AI/data-science duties mentioned, but many process-support tasks appear structured and repetitive.",1,5c2c3a4112f2,gpt-5.4,openai,exposure
0.08,0.18,"Portfolio analysis, policy advising, and technical assessments are human-judgment heavy; no explicit AI or data-science duties.",1,c26a66a023aa,gpt-5.4,openai,exposure
0.01,0.72,"Reception, phones, check-in, scheduling, and clerical tasks; no AI/data-science duties mentioned, many tasks are routine.",1,f490e4aa7bab,gpt-5.4,openai,exposure
0.01,0.28,"Lab assistant in healthcare; posting mentions no AI/data tasks. Physical, patient-facing lab support limits automation.",1,00e1858bbc84,gpt-5.4,openai,exposure
0.12,0.18,"Customer-facing scientific support for diagnostics tools; little explicit AI work, and troubleshooting/liaison tasks are nonroutine.",1,cba39087e65d,gpt-5.4,openai,exposure
0.99,0.18,"Role explicitly builds and scales generative-AI clinical products; product-management work is strategic, collaborative, and not mostly routine.",1,d5b8969533ac,gpt-5.4,openai,exposure
0.08,0.34,"Sales/account management role in genomics services; mentions bioinformatics company offerings, not AI duties. Relationship-driven work limits automation.",1,9e0f13a82579,gpt-5.4,openai,exposure
0.02,0.08,"Clinical leadership, staffing, strategic planning, and patient-care oversight; little direct AI use and low routine-task automability.",1,42c7b3eec4f2,gpt-5.4,openai,exposure
0.03,0.12,"Clinical leadership, staffing, planning, and team oversight dominate; little explicit AI/data-science use and low routine-task automability.",1,9ead19804eb7,gpt-5.4,openai,exposure
0.08,0.18,IP transactions in life sciences involve legal dealmaking and judgment; posting mentions technologies but not AI-related work.,1,ddfc4ca16d9d,gpt-5.4,openai,exposure
0.03,0.06,"Senior hepatology medical-strategy role; clinical expertise and strategic leadership, not AI-focused or routine.",1,180343c6952a,gpt-5.4,openai,exposure
0.08,0.06,"Clinical leadership, strategy, and cross-functional development work; mentions genetics research context, not direct AI/ML duties.",1,b260aab660b8,gpt-5.4,openai,exposure
0.03,0.08,"Assistant professor role centers on teaching and faculty duties; posting mentions no AI, and core work is nonroutine.",1,1016f61159fd,gpt-5.4,openai,exposure
0.03,0.18,"Sales consulting, relationship-building, strategy, and complex account discussions; no explicit AI/data-science duties, low routine task share.",1,1c2aceff12cc,gpt-5.4,openai,exposure
0.01,0.18,"Direct patient care, coordination, medication administration, and physician support dominate; no AI/data-science duties mentioned.",1,3fe68032045a,gpt-5.4,openai,exposure
0.18,0.06,"Advanced SAR physics R&D and complex problem-solving; posting mentions no AI/ML, and core work is highly nonroutine.",1,116b1e98d54a,gpt-5.4,openai,exposure
0.03,0.72,"Administrative eligibility support in healthcare; no AI/data-science duties mentioned, and core processing tasks appear structured and repetitive.",1,88f659f3b46a,gpt-5.4,openai,exposure
