industry_key,industry_label,year,n,mean_exposure_score,pct_exposed,mean_automatable_score,pct_automatable
farming_forestry,"Farming, Ranching and Forestry",2024.0,121,0.07710743801652893,4.132231404958678,0.3190909090909091,23.140495867768596
farming_forestry,"Farming, Ranching and Forestry",2026.0,300,0.055766666666666666,2.3333333333333335,0.3353,26.0
insurance,Insurance,2024.0,300,0.0902,4.0,0.3493,25.666666666666664
insurance,Insurance,2026.0,300,0.07919999999999999,3.3333333333333335,0.35723333333333335,23.333333333333332
legal_services,Legal Services,2024.0,300,0.031766666666666665,0.0,0.35536666666666666,31.333333333333336
legal_services,Legal Services,2026.0,300,0.0999,6.333333333333334,0.3592666666666667,33.0
patent_ip,Patent Analysis and IP Research,2024.0,93,0.04698924731182796,0.0,0.31430107526881723,23.655913978494624
patent_ip,Patent Analysis and IP Research,2026.0,300,0.1512,10.333333333333334,0.29766666666666663,19.0
pharma_chem,Pharmaceutical / Chemical Manufacturing,2024.0,300,0.06026666666666666,2.0,0.30866666666666664,21.333333333333336
pharma_chem,Pharmaceutical / Chemical Manufacturing,2026.0,300,0.10506666666666667,6.0,0.27066666666666667,16.0
