p_exposure,p_automatable,rationale,raw_ok,job_id
0.01,0.79,"Document processing, data entry, filing, and routine coordination; no AI/ML or analytics mentioned.",1,3906202183
0.03,0.78,"Routine sample prep, calibration, documentation, and cleaning; no AI/ML duties mentioned.",1,3905254228
0.02,0.18,"Maintenance area management in manufacturing; no AI/data-science duties shown, and managerial coordination is only partly automatable.",1,3895550294
0.03,0.28,"Sales, relationship management, and advisory grain marketing; little AI/data-science work, moderate routine tasks but strong human judgment needed.",1,3906200470
0.05,0.18,"Sales development, market evaluation, client onboarding, and strategy are human-centric; only basic data/forecasting tasks appear.",1,3888821714
0.03,0.57,"Logistics coordination and customer communication; little AI/data-science work, but scheduling/tracking tasks are partly software-automatable.",1,3905299409
0.03,0.19,"Agricultural field management, grower relations, travel, training, and monitoring dominate; little evidence of AI or mostly automatable tasks.",1,3903475910
0.01,0.06,"Emergency veterinary care is hands-on, judgment-heavy clinical work; posting mentions no AI, ML, or data-science tasks.",1,3889759495
0.04,0.18,"Field agronomy, trials, evaluations, training, and liaison work; little explicit AI/data science, substantial nonroutine human judgment.",1,3900942928
0.03,0.41,"Plant operations and maintenance with monitoring/recording; little AI involvement, but physical troubleshooting limits full automation.",1,3905854526
0.01,0.38,"Food safety compliance/support role; no AI or analytics mentioned. Some inspections/checklists are routine, but physical oversight limits automation.",1,9f3dae60136c
0.01,0.62,"Cooking follows menus and recipes with repetitive prep, but physical kitchen work and supervision limit full automation.",1,351a84addf7f
0.17,0.29,"Quality/process leadership with reporting and data quality, but no explicit AI/ML; cross-functional managerial judgment limits automation.",1,8af56e0e8b7e
0.03,0.48,"Branch client service and cash handling; no AI work mentioned, but many transactions are standardized and partly self-service.",1,eea3867f79cf
0.03,0.34,Sales/business development role; no AI or analytics mentioned. Relationship-building and field sales reduce automability.,1,7d8bbd5f8f5c
0.01,0.56,"Retail parts sales and stocking; no AI/data tasks. Many routine transactions, but customer service and physical store work limit automation.",1,e0f606d1a2f9
0.03,0.12,"Environmental remediation engineering role; posting mentions technical leadership and projects, not AI/data-science, and core work is non-routine.",1,e094f6a71469
0.01,0.42,"Manufacturing lead directs people, meetings, priorities, and process improvement; little AI work, but some coordination tasks are routine.",1,9ca9f5e9bc3f
0.02,0.35,"Sales-focused ISP posting; no AI/data-science duties mentioned. Some sales/admin tasks automatable, but human selling remains central.",1,5cd3ab0c3a55
0.01,0.78,"Retail receiving, inventory verification, and freight handling are repetitive; no AI, ML, or data-science tasks mentioned.",1,d9099f71cf65
0.03,0.46,"Customer-facing insurance service role using standard software; little AI/data-science work, but some repetitive service tasks are automatable.",1,3884438190
0.02,0.72,"Service desk routing, monitoring, communication, and documentation are structured, repetitive tasks; no explicit AI or data-science work mentioned.",1,3904935459
0.02,0.18,"Field inspections, risk surveys, and client interaction are hands-on, varied, and judgment-based; no AI or data-science duties mentioned.",1,3904722294
0.04,0.44,"Claims adjusting uses judgment, investigation, negotiation, and legal evidence; little direct AI or data-science work mentioned.",1,3900947165
0.15,0.12,"Senior strategic technology/product leadership; mentions platform delivery, not AI/ML specifically, and work is nonroutine, cross-functional, managerial.",1,3884919161
0.33,0.18,"Data-focused transformation leadership, process/system design, and stakeholder coordination; little explicit AI/ML, low routine-task automability.",1,3898162867
0.02,0.46,"Auto appraiser role; no AI/ML duties mentioned. Some inspection/documentation tasks are routine, but field judgment limits automation.",1,3901357011
0.02,0.34,"Healthcare sales role with training and relationship-building; little AI/data work, but some outreach and admin tasks are automatable.",1,3905831703
0.04,0.18,"PeopleSoft enterprise software development role; no AI/ML mentioned, and duties require custom analysis, collaboration, and implementation.",1,3904932799
0.09,0.2,"Client consulting, strategy, project management, and relationship work; no explicit AI/data-science tasks; core duties are non-routine.",1,3904362586
0.12,0.04,"Executive underwriting leadership role; mentions data-driven innovation, but core work is strategic, judgment-heavy, and relationship-based.",1,989f28775547
0.04,0.12,"Construction risk consulting and safety management are human judgment-intensive; posting mentions no AI, ML, or data-science work.",1,7082edb64865
0.03,0.28,"Store safety/security work involves human investigation and judgment; posting mentions no AI, and tasks are only partly routine.",1,eebf295833f6
0.08,0.46,"Financial analyst role; no AI/ML mentioned. Analysis/reporting partly automatable, but judgment-heavy finance work remains.",1,6bb7bb0b6df7
0.01,0.12,"Hands-on clinical evaluation and individualized treatment dominate; little AI/data-science use, limited automatable routine admin tasks.",1,2c2a88a53486
0.03,0.27,"Asset management role in real estate; no AI/data-science duties shown, and work likely mixed analytical, coordination, judgment-based.",1,ff5ee1036c35
0.1,0.38,"Business/claims coordination role; no explicit AI or analytics methods. Some reporting/workflow tasks automatable, but leadership and cross-functional coordination are not.",1,9b0b18d50910
0.05,0.62,"Underwriter role implies judgment-based insurance evaluation; posting mentions no AI, but many underwriting tasks are structured and partly automatable.",1,de28f0b8dcc4
0.11,0.66,"Pricing analysis using Excel/Power BI suggests basic analytics, not AI; reporting and routine analysis are fairly automatable.",1,3067fd54cadf
0.73,0.16,"Mentions using advanced data and AI; managerial, client-facing, complex problem-solving tasks are not easily automated.",1,64494a1e89bc
0.04,0.08,"Litigation and complex investigations require legal judgment; posting mentions no AI, ML, or data-science work.",1,3900066913
0.08,0.46,"Administrative coordination and basic reporting; little AI/ML work, but many scheduling and tracking tasks are partially automatable.",1,3895210680
0.03,0.26,"General legal associate duties; no AI/data-science tasks mentioned, but some research and drafting are partially automatable.",1,3884436762
0.03,0.58,"Legal assistant duties implied; no AI/data tasks mentioned. Many clerical case-support tasks are structured, but legal judgment remains.",1,3889709873
0.06,0.18,"IT architecture and deployment role; no AI/ML duties mentioned, and work is complex, customized, and leadership-heavy.",1,3901352958
0.02,0.79,"Administrative e-filing and calendaring; no AI/ML tasks mentioned; many rule-based, repetitive processes are software-automatable.",1,3898164442
0.02,0.18,"Litigation attorney role centers on legal writing and judgment; no AI/data tasks mentioned, and core work is not highly routine.",1,3901378560
0.01,0.12,"Legal advisory role in executive compensation/benefits; requires judgment, client communication, and bespoke compliance analysis, not AI work.",1,3900956928
0.04,0.57,Legal research and document handling are structured and partly automatable; posting shows no direct AI/ML work.,1,3901941349
0.02,0.71,"Benefits administration and recordkeeping use databases, not AI; many clerical, repetitive tasks are highly automatable.",1,3905282953
0.06,0.41,"Contract drafting, negotiation, tracking, and RFP support; little explicit AI use, some document-heavy tasks partly automatable.",1,fb5c7c7e1764
