job_id,industry_key,industry_label,year,title_clean,source_platform,bert_exposure_score,bert_replace_score,bert_exposure,bert_replace,gpt_exposure_score,gpt_replace_score,gpt_exposure,gpt_replace,period
c26a66a023aa,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Critical Chemicals Analyst,linkedin,0.1408278793096542,0.0040751034393906,0,0,0.09,0.22,0,0,2026
00e1858bbc84,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Laboratory Assistant,linkedin,0.146459698677063,0.0095794042572379,0,0,0.01,0.02,0,0,2026
cba39087e65d,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Field Application Specialist - San Diego/Southern California.,linkedin,0.2724191844463348,0.1577664017677307,0,0,0.12,0.18,0,0,2026
9e0f13a82579,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,"Account Manager, Northeast - Multiomics",linkedin,0.1540464162826538,0.0211736913770437,0,0,0.14,0.22,0,0,2026
42c7b3eec4f2,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Clinical Operations Manager- Pediatric OR,linkedin,0.0133781637996435,0.003252234775573,0,0,0.02,0.15,0,0,2026
9ead19804eb7,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Clinical Operations Manager- Progressive Care Unit,linkedin,0.0180292353034019,0.0022169728763401,0,0,0.02,0.12,0,0,2026
ddfc4ca16d9d,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,"Associate, IP Transactions (Life Sciences)",linkedin,0.5186628699302673,0.0194176118820905,1,0,0.01,0.08,0,0,2026
180343c6952a,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,"Executive Medical Director, Medical Strategy (Hepatologist)",linkedin,0.3142474591732025,0.0174874197691679,0,0,0.02,0.03,0,0,2026
b260aab660b8,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,"Senior Medical Director, Clinical Development, Hepatology",linkedin,0.1077925413846969,0.0008451052708551,0,0,0.12,0.03,0,0,2026
1016f61159fd,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Biological Sciences & Cell Biology: Assistant Professor- Fall 2026,linkedin,0.1238609701395034,0.0088395373895764,0,0,0.02,0.08,0,0,2026
3fe68032045a,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Certified Medical Assistant - Family Medicine - Melrose Park,linkedin,0.0255834888666868,0.2057933658361435,0,0,0.03,0.22,0,0,2026
067e78dac78a,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Clinical Operations Manager- Med/Surg,linkedin,0.0192824378609657,0.0032487118151038,0,0,0.01,0.19,0,0,2026
