p_exposure,p_automatable,rationale,raw_ok,job_id
0.03,0.65,"Routine clerical tasks: data entry, document processing, filing. No AI involvement. Highly repetitive and automatable.",1,3906202183
0.03,0.45,"Seasonal lab assistant doing routine sample prep, calibration, cleaning—no AI involvement. Tasks are repetitive but physical.",1,3905254228
0.05,0.08,Maintenance Area Manager is a hands-on industrial management role with no AI/ML involvement and low automatability.,1,3895550294
0.05,0.2,Relationship-driven grain marketing/sales role with no AI/ML involvement; requires human judgment and client management.,1,3906200470
0.05,0.1,"Sales/market development role in agriculture with no AI/ML involvement; tasks require relationship-building, travel, and judgment.",1,3888821714
0.05,0.4,Logistics coordination role with no AI/ML mention. Tasks are moderately routine but require judgment and customer interaction.,1,3905299409
0.03,0.08,"Agricultural field manager role involving relationship-building, travel, and hands-on farm oversight—no AI involvement, not routine/automatable.",1,3903475910
0.03,0.05,"Emergency veterinarian role requiring hands-on clinical judgment, collaboration, and mentoring—no AI involvement and not automatable.",1,3889759495
0.1,0.15,"Field agronomist role involving trials, sales training, and liaison work—hands-on, judgment-heavy, not AI-related or routine.",1,3900942928
0.03,0.2,"Manual maintenance/monitoring role with no AI involvement. Physical tasks limit automatability, though monitoring is partially automatable.",1,3905854526
0.03,0.25,"Food safety/quality assurance role with manual inspections and compliance checks; no AI involvement, some tasks partially automatable.",1,9f3dae60136c
0.02,0.25,Hospital cook role involves manual food preparation; no AI involvement. Some tasks are routine but require physical skill.,1,351a84addf7f
0.1,0.12,"Managerial role focused on quality, process compliance, and cross-functional leadership; no AI/ML involvement; not routine enough to automate.",1,8af56e0e8b7e
0.05,0.55,Bank teller/lobby role with routine cash transactions and client routing; no AI involvement but many tasks are automatable.,1,eea3867f79cf
0.05,0.12,"Territory sales manager role with relationship-building and business development; no AI involvement, and core tasks require human judgment.",1,7d8bbd5f8f5c
0.03,0.45,Retail parts specialist role with no AI involvement. Many tasks are routine but customer interaction limits full automation.,1,e0f606d1a2f9
0.05,0.08,"Environmental remediation engineering involves fieldwork, technical judgment, and project management—minimal AI involvement and low automatability.",1,e094f6a71469
0.03,0.12,"Manufacturing lead role involves supervising workers, coordinating production—no AI/ML tasks. Leadership/judgment limits automatability.",1,9ca9f5e9bc3f
0.03,0.2,Sales role at an ISP; no AI/ML involvement. Some repetitive tasks but sales requires human persuasion.,1,5cd3ab0c3a55
0.03,0.3,"Retail receiver role: manual freight handling, inventory verification. No AI involvement. Some tasks automatable but physical work limits it.",1,d9099f71cf65
0.05,0.4,"No AI/ML involvement; routine tasks like payments, calls, and remarketing are partially automatable but client interaction adds complexity.",1,3884438190
0.05,0.55,"No AI/ML involvement; role is case routing, monitoring, and correspondence—largely routine, rule-based tasks amenable to automation.",1,3904935459
0.05,0.08,Field-based physical inspections of boilers/equipment require on-site judgment; no AI/ML mentioned; hard to automate.,1,3904722294
0.05,0.25,"Traditional insurance claims adjuster role with no AI/ML mention; tasks involve judgment and investigation, limiting full automation.",1,3900947165
0.25,0.05,"Senior manager driving internal tools/platform strategy; no explicit AI/ML work. Highly strategic, non-routine leadership role.",1,3884919161
