p_exposure,p_automatable,rationale,raw_ok,job_id
0.03,0.65,"Clerical document processing, data entry, filing—highly routine tasks. No AI involvement. Strong automation candidate.",1,3906202183
0.03,0.45,"Seasonal lab assistant doing routine sample prep, calibration, cleaning—no AI involvement. Tasks are repetitive but physical.",1,3905254228
0.05,0.1,Maintenance Area Manager role in manufacturing; no AI/ML tasks mentioned; hands-on management is hard to automate.,1,3895550294
0.05,0.2,"Role is relationship-driven grain sales/marketing with no AI involvement. Requires human judgment and client relationships, limiting automatability.",1,3906200470
0.05,0.12,"Sales/market development role in agriculture; no AI/ML involvement. Requires relationship-building, travel, and strategic judgment—hard to automate.",1,3888821714
0.05,0.4,Logistics coordination role with no AI/ML involvement. Tasks are moderately routine but require judgment and communication.,1,3905299409
0.03,0.08,"Agricultural field manager role involving relationship-building, travel, and hands-on farm oversight—no AI involvement and not automatable.",1,3903475910
0.03,0.05,"Emergency veterinarian role involving hands-on clinical care, complex decision-making, and mentoring—no AI involvement and not automatable.",1,3889759495
0.08,0.12,"Field agronomist role involving trials, travel, liaison work—hands-on and judgment-intensive, not AI-focused or routine.",1,3900942928
0.03,0.15,Manual maintenance/operations role with no AI involvement. Physical tasks and judgment limit automatability.,1,3905854526
0.03,0.2,"Manual food safety/quality role with inspections and sanitation; no AI involvement, and tasks require physical presence.",1,9f3dae60136c
0.02,0.25,Hospital cook role with no AI involvement. Cooking is physical and somewhat routine but requires manual skill.,1,351a84addf7f
0.1,0.1,"Managerial role focused on quality, process adherence, and cross-functional collaboration. No AI/ML mentioned; tasks require judgment and leadership.",1,8af56e0e8b7e
0.05,0.55,Bank teller/lobby role guiding clients to self-service tools; routine cash transactions are highly automatable by ATMs and kiosks.,1,eea3867f79cf
0.05,0.1,"Sales/territory manager role focused on relationship-building and business development; no AI involvement, low routine automatability.",1,7d8bbd5f8f5c
0.02,0.35,"Retail parts specialist role with no AI involvement. Some tasks (cash handling, lookups) are automatable, but customer interaction limits full automation.",1,e0f606d1a2f9
0.05,0.1,"Environmental remediation engineering involves fieldwork, judgment, and complex project management—minimal AI involvement and low automatability.",1,e094f6a71469
0.03,0.12,Manufacturing lead role focused on supervising production; no AI/ML involvement. Supervisory/coordination tasks resist automation.,1,9ca9f5e9bc3f
0.03,0.25,"Sales role at an ISP; no AI/ML involvement. Some sales tasks are routine but relationship-driven, limiting full automation.",1,5cd3ab0c3a55
0.03,0.3,"Retail receiving role with no AI involvement. Physical tasks limit full automation, but inventory tracking has some automation potential.",1,d9099f71cf65
0.05,0.45,"No AI/ML involvement. Tasks are customer service, payments, remarketing—routine but require judgment and bilingual interpersonal skills.",1,3884438190
0.05,0.55,"No AI/ML involvement; role is case routing, monitoring, and correspondence—largely routine, repetitive tasks amenable to automation.",1,3904935459
0.05,0.07,Field-based physical inspections of boilers/equipment require on-site judgment; no AI/ML mentioned; very hard to automate.,1,3904722294
0.05,0.3,Traditional insurance claims adjusting role with no AI involvement; some tasks are routine but judgment and investigation limit full automation.,1,3900947165
0.25,0.05,"Senior management role driving internal tools/platform strategy; no explicit AI/ML work mentioned. Highly strategic, not automatable.",1,3884919161
