p_exposure,p_automatable,rationale,raw_ok,job_id,model
0.01,0.85,"Pure clerical/customer service work; no AI/ML tasks mentioned, and many routine administrative steps are highly automatable.",1,3901373434,gpt-5.4-mini
0.08,0.62,"Technology support only; no AI/ML work described. Mostly administrative/logistics coordination and training, which is partly routine.",1,3901677982,gpt-5.4-mini
0.02,0.18,"Hands-on seed production, logistics, and field oversight; no AI/data-science work mentioned, though some routine tasks are partially automatable.",1,3884831631,gpt-5.4-mini
0.08,0.71,"No AI/ML work; mostly routine plant, warehouse, and monitoring tasks with some computerized equipment.",1,3901950699,gpt-5.4-mini
0.04,0.12,"Maintenance management role; no AI, ML, or data-science duties mentioned, and tasks seem operational, not highly routine.",1,3895550294,gpt-5.4-mini
0.02,0.78,"Process mapping and quality-improvement coordination; no AI/ML/data-science work mentioned, tasks appear structured and routine.",1,3902756354,gpt-5.4-mini
0.02,0.62,"Pure material handling and inventory tasks; minimal AI/data work, though some documentation and planning are routine and automatable.",1,3903462811,gpt-5.4-mini
0.03,0.62,"Warehouse/plant operations role with equipment handling and routine tasks; no AI, ML, or data-science duties mentioned.",1,3887594590,gpt-5.4-mini
0.01,0.93,"No AI/ML work mentioned; tasks are routine physical maintenance and cleaning, highly automatable.",1,3900966122,gpt-5.4-mini
0.03,0.14,"Traditional operations management role; little AI/ML work, and core tasks require human coordination and judgment.",1,3905835109,gpt-5.4-mini
0.01,0.08,"Emergency veterinarian role with clinical care and mentoring; no AI or data-science work, and core tasks are largely non-routine.",1,3889759495,gpt-5.4-mini
0.02,0.22,"No AI/ML/data science work described; mostly logistics, warehouse, and routine operational analysis with some judgment.",1,3902748502,gpt-5.4-mini
0.08,0.34,"Treasury/risk management with analytics tools, but no clear AI/ML work; reporting and liquidity tasks are partly automatable.",1,3887595473,gpt-5.4-mini
0.08,0.33,"Marketing content strategist: little direct AI/ML work; some calendar, audit, and planning tasks are moderately routine.",1,3900945315,gpt-5.4-mini
0.01,0.08,"Pure landscaping work; no AI/ML or data-science duties. Some routine maintenance tasks are partially automatable, but much requires on-site judgment.",1,3905251801,gpt-5.4-mini
0.05,0.12,"Manufacturing technology engineering; no AI/ML/data science mentioned, and tasks appear specialized, not routine clerical work.",1,3906225754,gpt-5.4-mini
0.03,0.56,"Accounting role with standard reporting, reconciliation, and budgeting; little evidence of AI/ML work, moderate routine task automation risk.",1,3905871759,gpt-5.4-mini
0.08,0.22,"Technology support and training mentioned, but no AI/ML/data-science work; mostly logistics, administration, and coordination.",1,3260455681,gpt-5.4-mini
0.02,0.43,"Operational feed-mill work; no AI/ML mention. Some tasks are standardized and routine, but still require physical oversight and compliance.",1,3905238505,gpt-5.4-mini
0.05,0.2,"Posting describes production work with analytical/scientific methods, but no AI/ML/data-science responsibilities.",1,3905307018,gpt-5.4-mini
0.02,0.18,"Role is agronomy and sales support, with basic data interpretation; no indication of AI or ML work.",1,3902784280,gpt-5.4-mini
0.02,0.18,"Finance manager role centers on bookkeeping, controls, budgeting, and audit coordination; little direct AI/ML work and only partially automatable.",1,3901455803,gpt-5.4-mini
0.06,0.42,"Financial data governance and analytics role; little direct AI/ML work, but some repetitive posting reconciliation is automatable.",1,3900941961,gpt-5.4-mini
0.88,0.27,"Heavy genomics, sequencing analysis, and quantitative genetics; core work is specialized scientific judgment, not routine clerical tasks.",1,3903451011,gpt-5.4-mini
0.99,0.08,"Strong AI/ML role: transformers, training, deployment; core work is specialized engineering, not routine clerical tasks.",1,3901347947,gpt-5.4-mini
0.03,0.2,"No AI/ML work described; tasks are hands-on calibration, setup, transport, and maintenance, only partly routine.",1,3887596394,gpt-5.4-mini
0.03,0.18,"Market/sales development role with trial data and forecasting, but no AI/ML work; many tasks are relationship- and judgment-based.",1,3888821714,gpt-5.4-mini
0.02,0.56,"No AI/ML work mentioned; tasks are credit review, reporting, collections, and document processing, which are partly rule-based.",1,3906201216,gpt-5.4-mini
0.02,0.18,"Pure sales/territory management role; no AI or data-science work mentioned, though some routine reporting and forecasting are present.",1,3903471434,gpt-5.4-mini
0.02,0.82,"No AI/ML work mentioned; tasks are routine physical handling, inspections, data entry, and equipment operation.",1,3905298420,gpt-5.4-mini
0.05,0.18,"Business-facing account management; mentions data analytics, but no AI/ML building. Mostly relationship, strategy, and coordination work.",1,3895225004,gpt-5.4-mini
0.01,0.95,"Manual production labor; no AI/ML duties. Tasks are routine, physical, and highly standardized.",1,3903840715,gpt-5.4-mini
0.22,0.12,"Product management for data-driven analytics; little evidence the role itself builds ML or has routine, automatable core tasks.",1,3894645109,gpt-5.4-mini
0.01,0.68,"Truck-driving and cargo handling; no AI/ML work mentioned. Tasks are standardized, inspection- and transport-oriented, thus moderately automatable.",1,3905295632,gpt-5.4-mini
0.08,0.34,"Treasury/forecasting work includes modeling, but no AI/ML tools mentioned; many routines are structured, though judgment remains important.",1,3901951424,gpt-5.4-mini
0.03,0.62,"Pure customer service supervision; little AI/ML work. Mostly routine call handling, coaching, monitoring, and workflow coordination.",1,3905876320,gpt-5.4-mini
0.02,0.18,"Field service and dealer support role; no AI/ML work mentioned, though some routine communication and troubleshooting could be partly automated.",1,3900063709,gpt-5.4-mini
0.01,0.12,"HR/administration role with financial, operational, and people management duties; no AI, ML, or data-science work mentioned.",1,3901936521,gpt-5.4-mini
0.08,0.12,"Quality engineering role; posting shows no AI/ML work and tasks seem mostly hands-on, analytical, and human-judgment based.",1,3906228410,gpt-5.4-mini
0.02,0.86,"No AI/ML work described; tasks are routine warehouse, plant, and equipment operations with repetitive physical handling.",1,3887593784,gpt-5.4-mini
0.04,0.18,"Agronomy and trial coordination, not AI/ML work; some routine reporting and training but substantial field judgment required.",1,3900942928,gpt-5.4-mini
0.01,0.68,Animal care duties are manual and routine; no AI/ML or data work is mentioned.,1,3895527316,gpt-5.4-mini
0.02,0.12,"Hands-on propane maintenance and delivery role; no AI/ML work, and physical field service limits automation.",1,3902866621,gpt-5.4-mini
0.05,0.27,"Standard accounting role; mentions database activities and finance initiatives, but no AI/ML work. Some tasks are routine, though judgment and oversight remain.",1,3898170164,gpt-5.4-mini
0.01,0.72,"No AI/ML work shown; duties are document processing, data entry, filing, and routine coordination, mostly rule-based.",1,3906202183,gpt-5.4-mini
0.03,0.46,"Equipment setup, calibration, transport, and maintenance; no indication of AI/ML work, though some tasks are procedural and automatable.",1,3904715383,gpt-5.4-mini
0.04,0.18,"Sales/relationship territory management with technical product support; no clear AI/ML work, and most tasks are interpersonal and strategic.",1,3884834371,gpt-5.4-mini
0.03,0.72,"Routine lab prep, calibration, documentation, and reporting; no AI/ML work described.",1,3905254228,gpt-5.4-mini
0.08,0.22,"Change management and digital adoption role; no direct AI/ML work, mostly communication, coordination, and process mapping.",1,3902864553,gpt-5.4-mini
0.01,0.12,"Truck delivery and recordkeeping; no AI/ML work described, though driving and paperwork have limited automation potential.",1,3900962445,gpt-5.4-mini
0.14,0.24,"Strategy/IT governance role; digitization-focused, but no evidence of AI/ML work and many tasks are managerial rather than routine.",1,3901691609,gpt-5.4-mini
0.88,0.28,"Statistical forecasting, advanced data analysis, SAP IBP batch jobs; managerial, collaborative tasks reduce automability.",1,3900945314,gpt-5.4-mini
0.02,0.14,"Manual diesel repair role; only basic computer use, no AI/ML or data-science work described.",1,3888973740,gpt-5.4-mini
0.12,0.32,"Technical writing for service/operator manuals; mentions autonomous/intelligent products, but role is documentation-focused, not AI/ML work.",1,3902784814,gpt-5.4-mini
0.12,0.46,"General data analysis intern work; no explicit AI/ML, but many repetitive reporting and budget tasks.",1,3900945058,gpt-5.4-mini
0.03,0.22,Sales and relationship-focused grain marketing; no AI/ML work mentioned. Some routine market monitoring and service tasks could be partially automated.,1,3906200470,gpt-5.4-mini
0.05,0.25,"Traditional accounting role; mentions financial systems and process improvement, but no AI/ML work and only moderate routine task exposure.",1,3884937037,gpt-5.4-mini
0.02,0.68,"Assembly work follows digital instructions; no evidence of AI/ML use, but tasks appear routine and repetitive.",1,3901364791,gpt-5.4-mini
0.02,0.85,"Clerical quality support with data review and filing; no AI/ML work mentioned, highly routine document-processing tasks.",1,3903462780,gpt-5.4-mini
0.12,0.1,"Mostly hands-on mechanical, testing, transport, and safety-driving work; only indirect connection to autonomous tractor systems.",1,3902788275,gpt-5.4-mini
0.02,0.58,"No AI/ML work described; routine order entry, customer service, and coordination tasks are moderately automatable.",1,3904582563,gpt-5.4-mini
0.06,0.18,"No AI/ML or data-science mention; role is strategic, coordination-heavy, and likely partly judgment-based, not highly routine.",1,3898157584,gpt-5.4-mini
0.01,0.18,"No AI/ML or data work mentioned; mostly tractor-trailer driving, maintenance, and manual farm labor.",1,3889762099,gpt-5.4-mini
0.03,0.34,"Sales/account-management role; little AI/ML work. Some routine lead-generation, reporting, and admin tasks are partially automatable.",1,3905295631,gpt-5.4-mini
0.02,0.67,"Logistics coordination role with scheduling and tracking; no AI/ML work, but many routine, rule-based administrative tasks.",1,3905299409,gpt-5.4-mini
0.01,0.35,"Truck-based equipment delivery and inspections; no AI or data work mentioned, but driving/logistics and checklists are partly automatable.",1,3887493009,gpt-5.4-mini
0.01,0.83,Pure clerical/order-entry role with no AI or data-science duties; routine computer-based tasks are highly automatable.,1,3887596395,gpt-5.4-mini
0.02,0.72,"Equipment repair role; no AI/ML work mentioned. Tasks are procedural diagnostics, repairs, reports, and maintenance, which are partly automatable.",1,3904583427,gpt-5.4-mini
0.02,0.78,"Administrative contracts work; no AI/ML mentioned. Routine logging, proofreading, scheduling, and document preparation are highly automatable.",1,3884436884,gpt-5.4-mini
0.06,0.22,"Mechanics and maintenance role with only basic computer use; no AI/ML work, but some routine diagnostic and repair tasks are partially automatable.",1,3888973764,gpt-5.4-mini
0.09,0.12,"Agronomy trial coordination and training role; little explicit AI/ML or data-science work, and tasks are largely judgment-based field work.",1,3900947166,gpt-5.4-mini
0.01,0.42,"Operations/supervisory facility role; no AI/ML work mentioned. Some tasks are routine, but leadership and judgment limit automation.",1,3905294916,gpt-5.4-mini
0.03,0.2,"Accounting, financial reporting, and ad hoc analysis suggest little AI work; core tasks include standardized reporting and routine analysis.",1,3884928659,gpt-5.4-mini
0.02,0.33,"No AI/ML/data-science duties; mostly relationship management, field monitoring, contracts, and routine recordkeeping.",1,3903475910,gpt-5.4-mini
0.02,0.78,"Warehouse operations; no AI/ML work. Tasks are routine physical, inventory, and documentation duties with standard software.",1,3905329900,gpt-5.4-mini
0.03,0.12,"Commodity trading and relationship management; no AI/ML or data-science work described, but some execution tasks are partly routinizable.",1,3905295630,gpt-5.4-mini
0.06,0.19,"Field research role uses remote sensing and data collection, but no AI/ML methods; hands-on equipment and supervision reduce automation.",1,3901946857,gpt-5.4-mini
0.01,0.14,"Hands-on maintenance role with inspections and repairs; little to no AI/ML work, limited automation due to physical, varied tasks.",1,3901698266,gpt-5.4-mini
0.08,0.18,"Sales/partnership role in sustainability and data; no AI/ML work described, though some outreach tasks are partially routine.",1,3904376378,gpt-5.4-mini
0.03,0.55,"Sales/marketing leadership with strategy and KPIs; no AI/ML or data-science work mentioned. Some planning is automatable, though leadership is less so.",1,3901652587,gpt-5.4-mini
0.05,0.62,"Data entry and report running suggest routine work; no evidence of AI, ML, or data-science methods.",1,3904514229,gpt-5.4-mini
0.02,0.56,"Pure clerical/admin coordination role; no AI/ML work mentioned, but many routine ordering and record tasks are automatable.",1,3902745796,gpt-5.4-mini
0.01,0.36,"No AI/ML work described; role is relationship-heavy, but includes routine market monitoring and transaction handling.",1,3906203101,gpt-5.4-mini
0.08,0.22,"Primarily HR administration and reporting; some system support and surveys, but no evidence of AI/ML work.",1,3903881656,gpt-5.4-mini
0.02,0.27,"Warehouse/materials handling role with basic system entry; no AI/ML work, but some repetitive tasks are partly automatable.",1,3905295629,gpt-5.4-mini
0.02,0.18,"HR generalist role; no AI/ML work mentioned. Some administrative HR tasks are somewhat automatable, but much requires judgment and relationships.",1,3900978229,gpt-5.4-mini
0.01,0.68,"Packing-house supervision and sanitation/logging are manual, routine tasks with no AI, ML, or data-science work mentioned.",1,3901975629,gpt-5.4-mini
0.01,0.12,"Sales role; no AI/ML work mentioned. Core tasks are relationship-building and customer outreach, only mildly automatable.",1,3901687904,gpt-5.4-mini
0.02,0.18,"Accounting management role; no AI/ML work mentioned. Some reporting is software-assisted, but judgment-heavy technical accounting limits automation.",1,3904953668,gpt-5.4-mini
0.08,0.18,"Uses climate-control software and production data, but primarily hands-on greenhouse crop management; limited AI/ML content and moderate automation risk.",1,3906067166,gpt-5.4-mini
0.07,0.21,"Traditional FP&A work; no AI or data-science mention. Some reporting is routine, but budgeting and analysis require judgment.",1,3901965400,gpt-5.4-mini
0.03,0.22,"Compliance, reporting, inspections, and training; no evidence of AI, ML, or data-science work.",1,3903470944,gpt-5.4-mini
0.01,0.78,"Pure administrative support; no AI/ML work mentioned. Many scheduling, expense, document, and coordination tasks are routine and automatable.",1,3900942924,gpt-5.4-mini
0.01,0.38,"No AI/ML work described; tasks are equipment operation, application, communication, and routine maintenance.",1,3906200467,gpt-5.4-mini
0.02,0.3,"Operations/manufacturing role with process improvement; no AI/ML work. Some scheduling and documentation are routine, but leadership limits automation.",1,3901981054,gpt-5.4-mini
0.01,0.18,No AI/ML work mentioned; hands-on maintenance and troubleshooting are partly standardized but still physical and varied.,1,3902750991,gpt-5.4-mini
0.02,0.55,"Purchasing and supplier management, with metrics and e-procurement; no AI/ML work, but many routine record and ordering tasks.",1,3905299407,gpt-5.4-mini
0.78,0.41,"Forecasting, time-series analysis, segmentation, and PowerBI/Excel evaluation suggest analytics work; process execution also appears partly automatable.",1,3900945316,gpt-5.4-mini
0.03,0.08,"Cloud/application engineering role; no AI/ML or data-science work mentioned, and tasks are mostly infrastructure design and troubleshooting.",1,3898177736,gpt-5.4-mini
0.02,0.08,"No AI/ML work mentioned; mainly site management, budgeting, contracting, and orchard operations requiring human coordination.",1,3905832732,gpt-5.4-mini
0.03,0.56,"No AI/ML work listed; mostly routine communications, copyediting, content updates, and social media tasks.",1,3884429672,gpt-5.4-mini
0.01,0.86,Manual production labor; no AI/ML work mentioned. Tasks are repetitive line operations and material handling.,1,3901934861,gpt-5.4-mini
0.05,0.12,"General farm management and supervision; some data analysis, but no AI/ML work and substantial human judgment and coordination.",1,3894284013,gpt-5.4-mini
0.08,0.34,"Strategy-heavy portfolio management; mentions analytics and data, but no clear AI/ML work. Some routine evaluation/coordination may be automatable.",1,3884435283,gpt-5.4-mini
0.01,0.72,"Recruiting and ATS recordkeeping are non-AI tasks; work is largely repetitive sourcing, outreach, and scheduling.",1,3895205776,gpt-5.4-mini
0.08,0.12,"Materials engineering role; posting mentions no AI/ML/data science. Work sounds technical but largely specialized, not routine clerical.",1,3905301571,gpt-5.4-mini
0.03,0.45,"No AI/ML duties mentioned; mostly routine operational coordination and documentation with some specialized, hands-on judgment.",1,3905298421,gpt-5.4-mini
0.02,0.12,"Operations management role; no AI/ML or data-science work mentioned. Some routine coordination, but leadership and judgment are central.",1,3904718114,gpt-5.4-mini
0.01,0.22,"Hands-on wastewater monitoring and maintenance; no AI or data-science duties mentioned, though some routine monitoring is automatable.",1,3905854526,gpt-5.4-mini
0.03,0.32,"Field/greenhouse operations and data collection; little indication of AI/ML work, but some routine tasks are automatable.",1,3903469659,gpt-5.4-mini
0.01,0.88,"Driving, lifting, compliance, and forklift work; no AI/ML duties mentioned, and tasks are highly routine.",1,3904718113,gpt-5.4-mini
0.08,0.28,"Accounting and financial reporting role with analysis, but no indication of AI/ML work; some routine close and tracking tasks are partially automatable.",1,3904580438,gpt-5.4-mini
0.05,0.22,"Quality control lab work; no AI/ML mentioned. Some routine testing may be partially automatable, but not mostly machine-run.",1,3906230156,gpt-5.4-mini
0.05,0.08,"Executive finance strategy role; mentions data-driven culture, but no AI/ML work and low routine automatable content.",1,3891083171,gpt-5.4-mini
0.03,0.62,"No AI/ML work described; role centers on repetitive accounting calculations, reconciliations, and system inputs.",1,3901988957,gpt-5.4-mini
0.02,0.1,"Manual fabrication, welding, machining, and shipping duties; no mention of AI, data, or model work.",1,3903462777,gpt-5.4-mini
0.02,0.28,Administrative coordination role with no AI/ML duties; some routine scheduling and support tasks are partially automatable.,1,3905829697,gpt-5.4-mini
0.02,0.14,"Diesel technician role uses diagnostic tools, but no AI/ML or data science; mechanical repairs are partly routine, partly hands-on.",1,3888012305,gpt-5.4-mini
0.99,0.08,"Explicit AI/ML, transformers, LLMs, generative AI, and model training dominate; work is highly specialized, not routine.",1,3905254737,gpt-5.4-mini
0.08,0.83,"Accounting role; posting mentions company AI, but job duties are standard bookkeeping, reconciliations, and month-end close.",1,3901911413,gpt-5.4-mini
0.02,0.78,"No AI/ML work described; mostly routine vehicle operation, inspections, loading, and compliance tasks.",1,3905300338,gpt-5.4-mini
0.01,0.92,"Prep cook role; no AI/ML work mentioned. Tasks appear routine, repetitive food preparation with high automation potential.",1,ab92f987996d,gpt-5.4-mini
0.02,0.08,"Mechanical building-systems engineer; no AI/ML work mentioned, and tasks are specialized, judgment-based, and field-dependent.",1,31c0d21d2e90,gpt-5.4-mini
0.01,0.9,Cleaning and trash removal involve no AI work; tasks are highly routine and repetitive.,1,4e8253859ccd,gpt-5.4-mini
0.02,0.72,"Operations role; no AI/data work mentioned. Duties sound routine, physical, and standardized, so automation risk is relatively high.",1,ce19099c4e81,gpt-5.4-mini
0.02,0.12,"Investor relations and capital-raising role; no AI/ML work described, and tasks seem relationship-driven rather than routine.",1,8493cc3cea00,gpt-5.4-mini
0.03,0.18,"Geotechnical engineering and technical report preparation; no AI/ML mention, and tasks appear specialized but not highly repetitive.",1,9bcc3e556200,gpt-5.4-mini
0.12,0.24,"Focuses on process quality, reporting, compliance, and cross-functional coordination; little explicit AI/ML use, moderate routine reporting work.",1,8af56e0e8b7e,gpt-5.4-mini
