job_id,industry_key,year,title_clean,bert_exposure_score,bert_replace_score,description_excerpt,label_exposure,label_automatable,labeler,notes
3906202183,farming_forestry,2024,Export Documentation,0.106,0.4,"Export Documentation Location: Clinton, WI. SHIFT: Full- time, 8am-5pm Monday- Friday Pay: $20-$23/hour based on experience Benefits: The DeLong Co., Inc. offers affordable Medical, Free Dental, Vision, Rx, pet insurance and Life insurance coverage. 401k with matching, FSA and Dependent Care Accounts Short Term Disability, Voluntary Life and Voluntary Long Term Disability Description: Complete all steps necessary to process and complete documents for the export of the container and bulk shipment business. Responsibilities and Duties: Complete accurate export paperwork in a timely manner for customers prior to shipment arriving at destination. Provide information or answer inquiries quicky and professionally with other departments, customer and shipping lines. Problem solving within the company as well as with outside sources, referring to quality, quantity or other concerns. Conduct thorough review of export documents to ensure accuracy, completeness, and adherence to company standards. Input AES and Manifest bookings, Enter L/C or shipping instructions apply for Phytos by utilizing government websites. Maintaining organized folders and filing system. Ordering supplies and managing",0,1,claude-draft,"export-doc processing; routine clerical, no AI"
3905254228,farming_forestry,2024,Seasonal Laboratory Assistant,0.162,0.427,"Job Description For the past 60 years we at AgSource have woken up each day to support those that never stop feeding the world – and we have no plans to quit. In 1959, AgSource was formed to serve Wisconsin dairy farmers. What began as a regional, dairy records processing cooperative has now grown into the AgSource of today – serving industries that span the entire agricultural ecosystem. From cutting-edge soil, plant tissue and water testing, to agronomic consulting and full-service DHI testing, AgSource is at its core, a source of truth. One test at a time, we help our clients make the best decisions – always grounded in data. SEASONAL LABORATORY ASSISTANT Responsibilities Accurately prepare sample analyses according to laboratory SOP for designated tests to ensure quality results.Calibrate basic laboratory instrumentation according to laboratory SOP.Thoroughly complete appropriate documentation.Report results of analysis in a timely manner according to standard laboratory turn-times.Perform routine laboratory procedures such as, cleaning of labware and laboratory workspaces.Promote and adhere to safety in the workplace.Use personal protective equipment (PPE) as required. Follow ",0,0,claude-draft,seasonal lab assistant; physical sample handling
3895550294,farming_forestry,2024,Maintenance Area Manager,0.225,0.132,"At DuPont, we are working on things that matter; whether it’s providing clean water to more than a billion people on the planet, producing materials that are essential in everyday technology devices from smartphones to electric vehicles, or protecting workers around the world. If you would like to be a part of a premier multi-industrial company that is delivering sustainable solutions that bring real purpose and value, of a company with collaborative spirit because it believes that we work best when we work together as a team and values the diversity of thought, then DuPont is the company for you! WHY JOIN US? Our purpose is to empower the world with essential innovations to thrive. We work on things that matter! Have the Opportunity to chart your own course, challenge yourself, and acquire new capabilities to build a rewarding and fulfilling career. We reward employees with competitive pay and incentives to recognize skills, competencies, and contributions to business results. Get to Experience a collaborative environment where teamwork is celebrated with flexibility that enhances balance and an inclusive atmosphere that is welcoming to all! Get to know our Purpose and make it you",0,0,claude-draft,maintenance area manager; leadership/judgment
3906200470,farming_forestry,2024,Grain Marketing Specialist,0.035,0.01,"Grain Marketing Specialist Benefits: The DeLong Co., Inc. offers affordable Medical, Dental, Vision, Rx and Life insurance coverage. 401k with matching, FSA and Dependent Care Accounts Short Term Disability, Voluntary Life and Voluntary Long Term Disability Position Type/Expected hours: This is a salaried position with the expected work hours being 8a-5p with some extended hours including nights and weekends. Some overnight stays may also be required. Location: Northern IL, with a 6-month training period in Avalon, WI Pay: $50-$82,000 based on experience 2 years of grain marketing/sales experience required Job Description: As a Grain Marketing Specialist, your primary responsibilities include overseeing a customer book of business and cultivating relationships with growers. This position involves the execution and service of grain marketing plans, sales, and strategic efforts to optimize grain marketing sales. This entails staying informed and up-to-date on grain marketing tools and market news. Primary Job Functions: Risk Management- Develop and maintain a comprehensive understanding of evolving on-farm risk management dynamics by offering advanced ideas tailored to current market",0,0,claude-draft,grain marketing; trading/relationships
3888821714,farming_forestry,2024,Product and Market Developer,0.257,0.235,"Starke Ayres is expanding its operations into the Western USA and Mexico and have an opportunity available for an energetic and driven individual to join our International Trade Team. The position will primarily focus on evaluating market potential and implementing appropriate strategies in order to expand the company’s existing client base. RESPONSIBILITIES:Main responsibilities include: • Introducing and promoting Starke Ayres’s products in Western USA and Mexico.• Directly involved in launching and promoting the new products throughout the region through our Dealer network.• Follow up and collect trial data.• Compare and evaluate varieties to the industry standards.• Identify and evaluate the sales potential of new products in the region.• Actively seek out new clients and ensure successful on-boarding of new clients. • Submit annual forecasts on the sales potential of products and drive sales in order to meet projected targets.• Monitor prices, performances and positioning of Starke Ayres products against the competition.• Evaluate market size, describe characteristics, anticipate market movements, and make recommendations with regards to product development and sales strategie",0,0,claude-draft,market developer; sales/strategy
3905299409,farming_forestry,2024,Logistics Coordinator,0.01,0.024,"For assistance on how to apply, please click here Job Description Position Overview The Coordinator, Logistics position performs moderately complex logistical coordination. Depending upon the assigned business group, the coordination could be internal rail fleet management: tracking fleet movement and serving customers who are leasing rail cars. Or external management of: shipping schedules, serving customers by arranging for carriers, rail cars, and/or barges in the shipment of commodity product. This position collaborates and shares information internally to optimize efficiency and effectiveness, while delivering extraordinary service. Key Responsibilities Fleet Management Focus Monitor and track all aspects of lease deals from gathering details surrounding new deals, understanding current lease deals, and anticipating ending deals. Coordinate the administrative activities involved in managing these three aspects.Coordinate and communicate rail equipment movements for new deals, off-lease, bad-orders, in/out of storage, and scrap. Coordinate relevant internal parties and the customer on the equipment destination and route. Interact with the various Class I railroads and Short lin",0,1,claude-draft,logistics coordinator; scheduling/tracking is routine
3903475910,farming_forestry,2024,Agriculture Field Manager,0.014,0.007,"Core Botanica, part of Martin Bauer Group nature network, offers high quality, sustainably grown mint leaf products sourced and manufactured in the Pacific Northwest and we are seeking a dedicated Field Manager to join our team in Terrebonne, Central Oregon. If you have a background in agriculture and possess strong leadership skills, we want to hear from you! Your primary responsibility will be to partner and develop grower relationships in the Pacific Northwest through your deep passion and expertise for the farms, their families, and our communities. This role is onsite in Terrebonne, Oregon. Monthly travel will be required to the Pacific Northwest Farms for monitoring growth, quality, production, grower relationships, and training. Grower Relations Develop and maintain a quality grower base in multiple regionsPrepare and sign annual production contracts with growers to adequately fulfill sales demandsAct as the first point of contact for growers for all questionsDevelop strong lines of communication with each grower specific to their operation including key employees/family members. Utilize preferred methods to keep in regular contact throughout the year.Incorporate regular tra",0,0,claude-draft,"ag field manager; on-site, grower relationships"
3889759495,farming_forestry,2024,Emergency Veterinarian,0.04,0.0,"MPA is partnering with a leading emergency practice in Philadelphia that is actively seeking an emergency vet to join their expanding team. This presents a fantastic opportunity to work on interesting cases alongside other boarded specialists in Critical Care, Radiology, Neurology, Ophthalmology, Internal Medicine, Surgery, and Oncology. What you need:You should be internship-trained or have at least 2 years of experience in emergency medicine.Individuals who fit well with our team, enjoy a collaborative and fast-paced environment, and practice at a high level of medicine.Comfortable with mentoring new grads/clinicians looking to transfer to the ER department (although not the main focus of the job).DVM/VMD License in PA. What you’ll get:Competitive base payPooled production and no negative accrual401(k) matchingHealth & Dental insuranceEmployee discountFlexible scheduleLife insurancePaid time offParental leaveProfessional development assistanceRelocation assistanceTuition reimbursement To explore this exciting opportunity further, kindly forward your updated resume to casey.thompson@mparecruitment.ca.",0,0,claude-draft,"emergency vet; clinical judgment, hands-on"
3900942928,farming_forestry,2024,Corteva Product Agronomist (MS/TN),0.042,0.072,"232763W-01-1 Description Who We Are: At Corteva Agriscience, you will help us grow what's next. No matter your role, you will be part of a team that is building the future of agriculture – leading breakthroughs in the innovation and application of science and technology that will better the lives of people all over the world and fuel the progress of humankind. Come join our team in the role of Corteva Product Agronomist! In this role, you would work with commercial unit Portfolio Leader and Product Life Cycle Manager to plan and conduct product evaluation trials supporting product advancement and positioning. Partner with District Sales Leaders, Retail Managers, and Field Agronomists to create and deliver product information/training which improves the product knowledge of our sales team and the productivity and profitability of our customers. This is a remote position covering MS and TN and can be based anywhere in MS/TN area. If hired, you may be required to travel as necessary to support business activities. What You'll Do Product Evaluation and Life Cycle Management Collect information/notes and observations related to the performance of Pioneer® and PhytoGen® brand seed produc",0,0,claude-draft,"agronomist; field/science, 'innovation' is boilerplate"
3905854526,farming_forestry,2024,"Wastewater/Maintenance Technician- Valent BioSciences, LLC",0.043,0.088,"Wastewater/Maintenance Technician About Us: Valent BioSciences LLC is a worldwide leader in the research, development, manufacturing, and commercialization of biorational products for the agriculture, public health, and forestry markets. We have more than 60 years of experience bringing biorational products to market, and o ur products are used in sustainable operations in 95 countries around the world. Biorational products maximize plant quality, productivity, and sustainability. As a wholly owned subsidiary of Sumitomo Chemical, Valent BioSciences LLC operates with the Sumitomo Spirit mindset, which means to benefit both self and others, recognizing that private and public interests are one and the same. It’s about contributing to society, as well as making a profit. The Valent Biosciences manufacturing site located on an expansive 73-acre site in Osage, IA is a state of the art 130,000 square foot plant and is the largest purpose-built biorational facility in the world. It serves as the manufacturing and quality control center for Valent BioSciences broad portfolio of fermentation products. Description of Job: As a Wastewater/Maintenance Technician at Valent BioSciences you will",0,0,claude-draft,maintenance technician; physical
