p_exposure,p_automatable,rationale,raw_ok,job_id,model,provider,construct_target
0.01,0.72,"No AI/ML work mentioned; manufacturing support steps in a governed, repetitive biomanufacturing process suggest high automation potential.",1,5c2c3a4112f2,gpt-5.4-mini,openai,automatability
0.08,0.22,"Policy and portfolio analysis role; mentions reporting tools, but no AI/ML work and substantial judgment, stakeholder engagement, and complex evaluation.",1,c26a66a023aa,gpt-5.4-mini,openai,automatability
0.01,0.78,"Administrative clinical receptionist work; no AI/ML mention, and tasks are largely routine, repetitive, and software-driven.",1,f490e4aa7bab,gpt-5.4-mini,openai,automatability
0.02,0.35,No AI/ML duties mentioned; laboratory support has some routine tasks but likely requires hands-on human judgment.,1,00e1858bbc84,gpt-5.4-mini,openai,automatability
0.18,0.22,"Scientific customer support and troubleshooting; mentions bioinformatics tools, but no direct AI/ML work or highly routine tasks.",1,cba39087e65d,gpt-5.4-mini,openai,automatability
0.98,0.12,"Explicit AI/LLM product role; core work is strategic product management, not routine machine-executable tasks.",1,d5b8969533ac,gpt-5.4-mini,openai,automatability
0.08,0.22,Sales/account management role; mentions bioinformatics services but not doing AI/ML work directly.,1,9e0f13a82579,gpt-5.4-mini,openai,automatability
0.02,0.08,"Leadership, staffing, and clinical oversight; no AI/ML work described, and core tasks are judgment-heavy, not routine.",1,42c7b3eec4f2,gpt-5.4-mini,openai,automatability
0.02,0.12,"No AI or data-science duties listed; mostly human clinical leadership, planning, oversight, and staffing coordination.",1,9ead19804eb7,gpt-5.4-mini,openai,automatability
0.03,0.12,"IP transactions role; no AI, ML, or data-science work mentioned. Legal deal work is partly routine but largely specialized and judgment-based.",1,ddfc4ca16d9d,gpt-5.4-mini,openai,automatability
0.03,0.08,"Clinical hepatology strategy role; posting emphasizes medical expertise and leadership, with no AI, ML, or routine automatable tasks.",1,180343c6952a,gpt-5.4-mini,openai,automatability
0.08,0.03,"Clinical leadership role; mentions research and development, but no direct AI/ML work and tasks are largely judgment-based.",1,b260aab660b8,gpt-5.4-mini,openai,automatability
0.03,0.08,"Faculty biology role; posting emphasizes teaching and student support, with no AI, ML, or data-science duties mentioned.",1,1016f61159fd,gpt-5.4-mini,openai,automatability
0.02,0.35,Sales/business development role; no AI or data-science duties mentioned. Some routine lead generation and pricing support could be partially automated.,1,1c2aceff12cc,gpt-5.4-mini,openai,automatability
0.01,0.18,"No AI/ML work mentioned; mostly hands-on patient care and coordination, though some scheduling and office tasks are routine.",1,3fe68032045a,gpt-5.4-mini,openai,automatability
0.18,0.12,"Advanced physics/R&D imagery science, but no explicit AI/ML; highly specialized, judgment-heavy work is not routine.",1,116b1e98d54a,gpt-5.4-mini,openai,automatability
0.02,0.72,"No AI/ML duties mentioned; eligibility administration sounds rule-based, repetitive, and highly process-driven.",1,88f659f3b46a,gpt-5.4-mini,openai,automatability
0.03,0.12,"Leadership nursing operations role; mentions evidence-based practice, but no AI/ML work and many human judgment responsibilities.",1,067e78dac78a,gpt-5.4-mini,openai,automatability
0.03,0.12,"Leadership nursing operations role; mentions evidence-based practice, not AI/ML. Core work is coordination and oversight, only partly routine.",1,fd2f0d366134,gpt-5.4-mini,openai,automatability
0.03,0.08,"IP litigation associate; no AI/ML work mentioned, and tasks appear specialized legal analysis rather than routine automation.",1,231698171999,gpt-5.4-mini,openai,automatability
0.18,0.12,"Biology and modeling support, but no explicit AI/ML work; tasks are specialized, judgment-heavy, and not routine.",1,cd001ef0067b,gpt-5.4-mini,openai,automatability
0.01,0.35,"No AI/ML work described; mostly greeting patients and taking records, with some routine but human-facing tasks.",1,e463785e6588,gpt-5.4-mini,openai,automatability
0.18,0.22,"Customer success and technical workflow support, not AI/ML work; some repetitive onboarding tasks could be automated.",1,1a9bf082bc66,gpt-5.4-mini,openai,automatability
0.02,0.08,"Leadership-focused clinical operations role; no AI, ML, or data-science work mentioned, and tasks appear managerial rather than routine.",1,0e6a5b5c0ae1,gpt-5.4-mini,openai,automatability
0.78,0.18,"Uses modern statistical methods, simulation, Bayesian approaches, and real-world data; leadership and judgment make full automation unlikely.",1,dcc2dc84df48,gpt-5.4-mini,openai,automatability
0.01,0.78,"No AI/ML work mentioned; mostly routine clerical, phone, filing, billing, and paperwork tasks.",1,3901373434,gpt-5.4-mini,openai,automatability
0.08,0.22,"Uses technical troubleshooting and training for logistics technology, but no AI/ML mention; mostly coordination, compliance, and field operations.",1,3901677982,gpt-5.4-mini,openai,automatability
