job_id,industry_key,industry_label,year,title_clean,source_platform,final_exposure_score,exposure_rationale,exposure_raw_ok,exposure_model,exposure_provider,final_automatable_score,automatable_rationale,automatable_raw_ok,automatable_model,automatable_provider,final_exposure,final_automatable
3901373434,farming_forestry,"Farming, Ranching and Forestry",2024.0,Energy Administrative Assistant,linkedin_2024,0.02,"Clerical, billing, filing, phones, and paperwork dominate; no AI/data-science duties mentioned.",1,gpt-5.4,openai,0.78,"No AI/ML work mentioned; mostly routine clerical, phone, filing, billing, and paperwork tasks.",1,gpt-5.4-mini,openai,0,1
3901677982,farming_forestry,"Farming, Ranching and Forestry",2024.0,Forestry Operations Specialist,linkedin_2024,0.12,"Operations/logging coordination and training role; mentions technology use/troubleshooting, not AI/data science; field judgment limits automation.",1,gpt-5.4,openai,0.22,"Uses technical troubleshooting and training for logistics technology, but no AI/ML mention; mostly coordination, compliance, and field operations.",1,gpt-5.4-mini,openai,0,0
3884831631,farming_forestry,"Farming, Ranching and Forestry",2024.0,Production Technician,linkedin_2024,0.03,"Hands-on seed production, shipping, field management, and coordination; little AI use, but some routine logistics tasks are automatable.",1,gpt-5.4,openai,0.18,"No AI/ML work described; mostly hands-on seed handling, field management, and compliance tasks with some routine inventory work.",1,gpt-5.4-mini,openai,0,0
3901950699,farming_forestry,"Farming, Ranching and Forestry",2024.0,Production Technician,linkedin_2024,0.06,"Production/warehouse tasks use computerized systems but not AI; many repetitive monitoring, sorting, packing, and logistics duties are automatable.",1,gpt-5.4,openai,0.62,"Uses computers/iPads and automated equipment, but no AI/ML work; many repetitive plant, warehouse, and sorting tasks.",1,gpt-5.4-mini,openai,0,1
3895550294,farming_forestry,"Farming, Ranching and Forestry",2024.0,Maintenance Area Manager,linkedin_2024,0.02,"Maintenance management role; posting shows plant operations leadership, not AI work, and tasks likely require human judgment and coordination.",1,gpt-5.4,openai,0.12,"Maintenance management role; posting emphasizes operations, teamwork, and sustainability, with no AI, ML, or data-science work mentioned.",1,gpt-5.4-mini,openai,0,0
3902756354,farming_forestry,"Farming, Ranching and Forestry",2024.0,Global Process Quality Improvement Lead,linkedin_2024,0.03,"Process mapping and quality-improvement coordination; no explicit AI/data-science work, but some documentation tasks are partly automatable.",1,gpt-5.4,openai,0.18,"Process mapping and quality improvement role; no AI/ML work mentioned, and tasks are partly structured but still cross-functional.",1,gpt-5.4-mini,openai,0,0
3903462811,farming_forestry,"Farming, Ranching and Forestry",2024.0,Crane Operator - Weekend Days,linkedin_2024,0.01,"Manual material handling and inventory documentation; no AI/data-science duties, but many routine logistics tasks are partly automatable.",1,gpt-5.4,openai,0.78,"No AI/ML work described; tasks are repetitive material handling, inventory tracking, and order interpretation.",1,gpt-5.4-mini,openai,0,1
3887594590,farming_forestry,"Farming, Ranching and Forestry",2024.0,"Plant Operator (El Nido, CA)",linkedin_2024,0.02,"Manual plant and warehouse work with equipment operation; little AI/data use, but some repetitive handling tasks are automatable.",1,gpt-5.4,openai,0.28,"No AI/ML work mentioned; mostly physical plant, warehouse, and equipment tasks with some routine computer use.",1,gpt-5.4-mini,openai,0,0
3900966122,farming_forestry,"Farming, Ranching and Forestry",2024.0,Part-Time Seed Hub Operations,linkedin_2024,0.01,"Manual groundskeeping and maintenance role; no AI/data tasks mentioned, but many duties are repetitive and partly automatable.",1,gpt-5.4,openai,0.78,"Manual groundskeeping and maintenance; no AI or data work mentioned, tasks are routine and repetitive.",1,gpt-5.4-mini,openai,0,1
3905835109,farming_forestry,"Farming, Ranching and Forestry",2024.0,Harvest Transportation Manager,linkedin_2024,0.03,"Supervisory field operations, planning, contractor coordination, and leadership; little evidence of AI/data-science work, low routine automability.",1,gpt-5.4,openai,0.18,"Operations leadership and planning role; no AI/ML work mentioned, though some scheduling and monitoring tasks are partially automatable.",1,gpt-5.4-mini,openai,0,0
3889759495,farming_forestry,"Farming, Ranching and Forestry",2024.0,Emergency Veterinarian,linkedin_2024,0.01,"Clinical emergency veterinary care and mentoring are hands-on, judgment-intensive, with no AI or data-science duties mentioned.",1,gpt-5.4,openai,0.01,"Emergency veterinary care; no AI/ML or data-science work described, and core clinical judgment is not routine or easily automated.",1,gpt-5.4-mini,openai,0,0
3902748502,farming_forestry,"Farming, Ranching and Forestry",2024.0,"Intern - Agriculture Operations (Rolla, ND)",linkedin_2024,0.06,"Agriculture operations internship with logistics, warehouse, inspection, sampling, and basic analysis; little explicit AI/data-science work.",1,gpt-5.4,openai,0.18,"Operations internship with basic analysis; no AI/ML work described, and most tasks are hands-on logistics and inspection.",1,gpt-5.4-mini,openai,0,0
3887595473,farming_forestry,"Farming, Ranching and Forestry",2024.0,Senior Corporate Treasury Manager - Remote,linkedin_2024,0.03,"Treasury finance role using analysis, risk management, and cross-functional judgment; no AI/data-science duties, limited routine automatable work.",1,gpt-5.4,openai,0.18,"Treasury finance role uses Excel and reporting, with no mention of AI/ML; tasks are analytical but not highly routine.",1,gpt-5.4-mini,openai,0,0
3900945315,farming_forestry,"Farming, Ranching and Forestry",2024.0,U.S. Seeds Content Specialist,linkedin_2024,0.08,"Marketing content strategy and coordination role; mentions optimization/testing, but no direct AI/ML work. Creative planning limits full automation.",1,gpt-5.4,openai,0.42,"Marketing content strategy role; no AI/ML work mentioned. Many planning and calendar tasks are routine, but strategy and coordination remain human-heavy.",1,gpt-5.4-mini,openai,0,0
3905251801,farming_forestry,"Farming, Ranching and Forestry",2024.0,Landscaper,linkedin_2024,0.01,"Manual outdoor landscaping and maintenance; no AI/data tasks mentioned, and core work requires physical, variable on-site judgment.",1,gpt-5.4,openai,0.12,"No AI/ML work described; mostly hands-on landscaping, though some routine maintenance tasks are partially automatable.",1,gpt-5.4-mini,openai,0,0
3906225754,farming_forestry,"Farming, Ranching and Forestry",2024.0,Kapton(R) Manufacturing Technology Engineer,linkedin_2024,0.04,"Manufacturing technology engineering role; posting shows plant/process engineering, not AI work, and tasks likely require human judgment.",1,gpt-5.4,openai,0.18,"Manufacturing technology engineering; no AI/ML mention. Some process work is technical, but much likely hands-on and nonroutine.",1,gpt-5.4-mini,openai,0,0
3905871759,farming_forestry,"Farming, Ranching and Forestry",2024.0,Accountant II,linkedin_2024,0.03,"Accounting, reporting, reconciliation, and compliance tasks use standard procedures; no explicit AI/ML or data-science responsibilities.",1,gpt-5.4,openai,0.62,"Standard accounting, reporting, reconciliation, and compliance work; no AI/ML mention, many tasks are structured and rule-based.",1,gpt-5.4-mini,openai,0,1
3260455681,farming_forestry,"Farming, Ranching and Forestry",2024.0,Operations Specialist,linkedin_2024,0.14,"Operations/logging coordination and training role; uses operational technology but not AI-specific, with substantial field judgment and contractor management.",1,gpt-5.4,openai,0.22,"Technology support and training, but no AI/ML or data-science work; mostly coordination, compliance, and logistics administration.",1,gpt-5.4-mini,openai,0,0
3905238505,farming_forestry,"Farming, Ranching and Forestry",2024.0,Feed Mill Manager - Poultry Farm,linkedin_2024,0.01,"Feed mill operations, compliance, maintenance, and staff management; little AI/data-science content, many physical and supervisory tasks resist automation.",1,gpt-5.4,openai,0.18,"Feed mill operations, compliance, and staff management dominate; no AI/ML work described, and tasks require physical oversight and judgment.",1,gpt-5.4-mini,openai,0,0
3905307018,farming_forestry,"Farming, Ranching and Forestry",2024.0,Production Specialist,linkedin_2024,0.06,"Manufacturing production role with technical analysis; no explicit AI/data-science duties, and physical/specialized tasks limit automation.",1,gpt-5.4,openai,0.22,"No explicit AI/ML work; specialized production role with some technical analysis, but likely partly routine and process-driven.",1,gpt-5.4-mini,openai,0,0
3902784280,farming_forestry,"Farming, Ranching and Forestry",2024.0,Specialist,linkedin_2024,0.06,"Customer advising, field trials, and relationship management dominate; little explicit AI/data-science work and substantial non-routine field interaction.",1,gpt-5.4,openai,0.18,"No AI/ML work mentioned; mostly customer support, sales, field trials, and relationship management with some data interpretation.",1,gpt-5.4-mini,openai,0,0
3901455803,farming_forestry,"Farming, Ranching and Forestry",2024.0,Finance Manager,linkedin_2024,0.03,"Finance management and compliance role; no AI/data-science duties mentioned, but some bookkeeping/reporting tasks are software-automatable.",1,gpt-5.4,openai,0.18,"Standard finance management duties; no AI/ML work mentioned. Some bookkeeping and reporting are software-assisted, but judgment and coordination remain central.",1,gpt-5.4-mini,openai,0,0
