job_id,gpt_exposure_score,gpt_replace_score,gpt_exposure,gpt_replace,rationale,model,prompt_version
3901373434,0.01,0.85,0,1,"Pure clerical/customer service work; no AI/ML tasks mentioned, and many routine administrative steps are highly automatable.",gpt-5.4-mini,v1
3901677982,0.08,0.62,0,1,"Technology support only; no AI/ML work described. Mostly administrative/logistics coordination and training, which is partly routine.",gpt-5.4-mini,v1
3884831631,0.02,0.18,0,0,"Hands-on seed production, logistics, and field oversight; no AI/data-science work mentioned, though some routine tasks are partially automatable.",gpt-5.4-mini,v1
3901950699,0.08,0.71,0,1,"No AI/ML work; mostly routine plant, warehouse, and monitoring tasks with some computerized equipment.",gpt-5.4-mini,v1
3895550294,0.04,0.12,0,0,"Maintenance management role; no AI, ML, or data-science duties mentioned, and tasks seem operational, not highly routine.",gpt-5.4-mini,v1
3902756354,0.02,0.78,0,1,"Process mapping and quality-improvement coordination; no AI/ML/data-science work mentioned, tasks appear structured and routine.",gpt-5.4-mini,v1
3903462811,0.02,0.62,0,1,"Pure material handling and inventory tasks; minimal AI/data work, though some documentation and planning are routine and automatable.",gpt-5.4-mini,v1
3887594590,0.03,0.62,0,1,"Warehouse/plant operations role with equipment handling and routine tasks; no AI, ML, or data-science duties mentioned.",gpt-5.4-mini,v1
3900966122,0.01,0.93,0,1,"No AI/ML work mentioned; tasks are routine physical maintenance and cleaning, highly automatable.",gpt-5.4-mini,v1
3905835109,0.03,0.14,0,0,"Traditional operations management role; little AI/ML work, and core tasks require human coordination and judgment.",gpt-5.4-mini,v1
3889759495,0.01,0.08,0,0,"Emergency veterinarian role with clinical care and mentoring; no AI or data-science work, and core tasks are largely non-routine.",gpt-5.4-mini,v1
3902748502,0.02,0.22,0,0,"No AI/ML/data science work described; mostly logistics, warehouse, and routine operational analysis with some judgment.",gpt-5.4-mini,v1
3887595473,0.08,0.34,0,0,"Treasury/risk management with analytics tools, but no clear AI/ML work; reporting and liquidity tasks are partly automatable.",gpt-5.4-mini,v1
3900945315,0.08,0.33,0,0,"Marketing content strategist: little direct AI/ML work; some calendar, audit, and planning tasks are moderately routine.",gpt-5.4-mini,v1
3905251801,0.01,0.08,0,0,"Pure landscaping work; no AI/ML or data-science duties. Some routine maintenance tasks are partially automatable, but much requires on-site judgment.",gpt-5.4-mini,v1
3906225754,0.05,0.12,0,0,"Manufacturing technology engineering; no AI/ML/data science mentioned, and tasks appear specialized, not routine clerical work.",gpt-5.4-mini,v1
3905871759,0.03,0.56,0,1,"Accounting role with standard reporting, reconciliation, and budgeting; little evidence of AI/ML work, moderate routine task automation risk.",gpt-5.4-mini,v1
3260455681,0.08,0.22,0,0,"Technology support and training mentioned, but no AI/ML/data-science work; mostly logistics, administration, and coordination.",gpt-5.4-mini,v1
3905238505,0.02,0.43,0,0,"Operational feed-mill work; no AI/ML mention. Some tasks are standardized and routine, but still require physical oversight and compliance.",gpt-5.4-mini,v1
3905307018,0.05,0.2,0,0,"Posting describes production work with analytical/scientific methods, but no AI/ML/data-science responsibilities.",gpt-5.4-mini,v1
3902784280,0.02,0.18,0,0,"Role is agronomy and sales support, with basic data interpretation; no indication of AI or ML work.",gpt-5.4-mini,v1
3901455803,0.02,0.18,0,0,"Finance manager role centers on bookkeeping, controls, budgeting, and audit coordination; little direct AI/ML work and only partially automatable.",gpt-5.4-mini,v1
3900941961,0.06,0.42,0,0,"Financial data governance and analytics role; little direct AI/ML work, but some repetitive posting reconciliation is automatable.",gpt-5.4-mini,v1
3903451011,0.88,0.27,1,0,"Heavy genomics, sequencing analysis, and quantitative genetics; core work is specialized scientific judgment, not routine clerical tasks.",gpt-5.4-mini,v1
3901347947,0.99,0.08,1,0,"Strong AI/ML role: transformers, training, deployment; core work is specialized engineering, not routine clerical tasks.",gpt-5.4-mini,v1
3887596394,0.03,0.2,0,0,"No AI/ML work described; tasks are hands-on calibration, setup, transport, and maintenance, only partly routine.",gpt-5.4-mini,v1
3888821714,0.03,0.18,0,0,"Market/sales development role with trial data and forecasting, but no AI/ML work; many tasks are relationship- and judgment-based.",gpt-5.4-mini,v1
3906201216,0.02,0.56,0,1,"No AI/ML work mentioned; tasks are credit review, reporting, collections, and document processing, which are partly rule-based.",gpt-5.4-mini,v1
3903471434,0.02,0.18,0,0,"Pure sales/territory management role; no AI or data-science work mentioned, though some routine reporting and forecasting are present.",gpt-5.4-mini,v1
3905298420,0.02,0.82,0,1,"No AI/ML work mentioned; tasks are routine physical handling, inspections, data entry, and equipment operation.",gpt-5.4-mini,v1
3895225004,0.05,0.18,0,0,"Business-facing account management; mentions data analytics, but no AI/ML building. Mostly relationship, strategy, and coordination work.",gpt-5.4-mini,v1
3903840715,0.01,0.95,0,1,"Manual production labor; no AI/ML duties. Tasks are routine, physical, and highly standardized.",gpt-5.4-mini,v1
3894645109,0.22,0.12,0,0,"Product management for data-driven analytics; little evidence the role itself builds ML or has routine, automatable core tasks.",gpt-5.4-mini,v1
3905295632,0.01,0.68,0,1,"Truck-driving and cargo handling; no AI/ML work mentioned. Tasks are standardized, inspection- and transport-oriented, thus moderately automatable.",gpt-5.4-mini,v1
3901951424,0.08,0.34,0,0,"Treasury/forecasting work includes modeling, but no AI/ML tools mentioned; many routines are structured, though judgment remains important.",gpt-5.4-mini,v1
3905876320,0.03,0.62,0,1,"Pure customer service supervision; little AI/ML work. Mostly routine call handling, coaching, monitoring, and workflow coordination.",gpt-5.4-mini,v1
3900063709,0.02,0.18,0,0,"Field service and dealer support role; no AI/ML work mentioned, though some routine communication and troubleshooting could be partly automated.",gpt-5.4-mini,v1
3901936521,0.01,0.12,0,0,"HR/administration role with financial, operational, and people management duties; no AI, ML, or data-science work mentioned.",gpt-5.4-mini,v1
3906228410,0.08,0.12,0,0,"Quality engineering role; posting shows no AI/ML work and tasks seem mostly hands-on, analytical, and human-judgment based.",gpt-5.4-mini,v1
3887593784,0.02,0.86,0,1,"No AI/ML work described; tasks are routine warehouse, plant, and equipment operations with repetitive physical handling.",gpt-5.4-mini,v1
3900942928,0.04,0.18,0,0,"Agronomy and trial coordination, not AI/ML work; some routine reporting and training but substantial field judgment required.",gpt-5.4-mini,v1
3895527316,0.01,0.68,0,1,Animal care duties are manual and routine; no AI/ML or data work is mentioned.,gpt-5.4-mini,v1
3902866621,0.02,0.12,0,0,"Hands-on propane maintenance and delivery role; no AI/ML work, and physical field service limits automation.",gpt-5.4-mini,v1
3898170164,0.05,0.27,0,0,"Standard accounting role; mentions database activities and finance initiatives, but no AI/ML work. Some tasks are routine, though judgment and oversight remain.",gpt-5.4-mini,v1
3906202183,0.01,0.72,0,1,"No AI/ML work shown; duties are document processing, data entry, filing, and routine coordination, mostly rule-based.",gpt-5.4-mini,v1
3904715383,0.03,0.46,0,0,"Equipment setup, calibration, transport, and maintenance; no indication of AI/ML work, though some tasks are procedural and automatable.",gpt-5.4-mini,v1
3884834371,0.04,0.18,0,0,"Sales/relationship territory management with technical product support; no clear AI/ML work, and most tasks are interpersonal and strategic.",gpt-5.4-mini,v1
3905254228,0.03,0.72,0,1,"Routine lab prep, calibration, documentation, and reporting; no AI/ML work described.",gpt-5.4-mini,v1
3902864553,0.08,0.22,0,0,"Change management and digital adoption role; no direct AI/ML work, mostly communication, coordination, and process mapping.",gpt-5.4-mini,v1
3900962445,0.01,0.12,0,0,"Truck delivery and recordkeeping; no AI/ML work described, though driving and paperwork have limited automation potential.",gpt-5.4-mini,v1
3901691609,0.14,0.24,0,0,"Strategy/IT governance role; digitization-focused, but no evidence of AI/ML work and many tasks are managerial rather than routine.",gpt-5.4-mini,v1
3900945314,0.88,0.28,1,0,"Statistical forecasting, advanced data analysis, SAP IBP batch jobs; managerial, collaborative tasks reduce automability.",gpt-5.4-mini,v1
3888973740,0.02,0.14,0,0,"Manual diesel repair role; only basic computer use, no AI/ML or data-science work described.",gpt-5.4-mini,v1
3902784814,0.12,0.32,0,0,"Technical writing for service/operator manuals; mentions autonomous/intelligent products, but role is documentation-focused, not AI/ML work.",gpt-5.4-mini,v1
3900945058,0.12,0.46,0,0,"General data analysis intern work; no explicit AI/ML, but many repetitive reporting and budget tasks.",gpt-5.4-mini,v1
