p_exposure,p_automatable,rationale,raw_ok,job_id
0.15,0.65,Documentation and data entry tasks are routine and repetitive. Minimal AI/ML involvement; some government website usage noted but not advanced analytics.,1,3906202183
0.15,0.72,"Lab assistant role involves routine sample preparation, calibration, cleaning, documentation. Limited AI/ML involvement. High routine task automation potential.",1,3905254228
0.05,0.25,"Maintenance management role with no AI/ML responsibilities mentioned. Some routine tasks, but requires human judgment and site presence.",1,3895550294
0.15,0.35,"Role focuses on relationship management, sales, and risk advisory. Limited AI/ML involvement mentioned. Some routine tasks automatable but requires relationship-building and judgment.",1,3906200470
0.15,0.35,Sales/market development role with data collection and forecasting. Some routine tasks but requires client relationship building and strategic judgment.,1,3888821714
0.15,0.6,Logistics coordination involves routine scheduling and tracking tasks vulnerable to automation. Minimal AI/ML involvement indicated in posting.,1,3905299409
0.05,0.15,"Role focuses on relationship management, field monitoring, and training—human-centric tasks requiring interpersonal skills and contextual judgment. Minimal AI/ML involvement apparent.",1,3903475910
0.05,0.08,"Emergency veterinary medicine requires clinical judgment, patient interaction, and specialized decision-making. Neither AI exposure nor automation are mentioned or implied.",1,3889759495
0.15,0.25,"Role involves field observations, product trials, and sales training—primarily manual, interpersonal work. Limited AI/ML involvement; some data collection but not ML-focused. Moderately automatable fi",1,3900942928
0.05,0.35,Manual monitoring and maintenance work with some data recording. Routine but requires physical presence and judgment.,1,3905854526
0.05,0.35,Food safety support involves compliance monitoring and inspection; minimal AI/ML use. Tasks are procedural but require human judgment and physical inspection.,1,9f3dae60136c
0.02,0.35,"Cook role involves food preparation with minimal AI/ML involvement. Tasks are routine but require physical dexterity and real-time judgment, limiting full automation.",1,351a84addf7f
0.25,0.35,"Manager role involving process compliance, reporting, and cross-functional leadership. Some data analysis but primarily oversight and collaboration-focused.",1,8af56e0e8b7e
0.15,0.65,"Role involves client service, cash handling, and transaction processing—routine tasks vulnerable to automation. Minimal AI/ML involvement mentioned.",1,eea3867f79cf
0.05,0.25,Sales/business development role with no AI/ML mentions. Some routine tasks but requires relationship-building and negotiation skills.,1,7d8bbd5f8f5c
0.05,0.45,No AI/ML work mentioned. Customer service and cash handling tasks are routine but require interpersonal judgment.,1,e0f606d1a2f9
0.15,0.25,"Environmental remediation work requires field expertise, site assessment, and technical judgment. Limited AI/ML involvement evident. Some routine tasks automatable, but core work requires human expert",1,e094f6a71469
0.15,0.35,"Manufacturing lead role involves coordination and oversight, not AI/ML work. Core tasks (scheduling, communication, supervision) are partially routine but require human judgment and interpersonal skil",1,9ca9f5e9bc3f
0.05,0.72,"Sales role with no AI/ML requirements. Core tasks (sales, customer outreach) are routine and easily automatable.",1,5cd3ab0c3a55
0.05,0.6,"Receiver role involves routine freight handling, verification, inventory tasks. Minimal AI/ML involvement. Moderate automation risk from warehouse robotics.",1,d9099f71cf65
0.15,0.35,"Uses insurance software but not AI/ML. Customer service and payment processing have automation potential, but relationship-building and complex explanations require human judgment.",1,3884438190
0.05,0.65,"Routine case routing and monitoring with minimal AI/ML involvement. Core tasks—triage, assignment, follow-up—are repetitive and rule-based, highly automatable.",1,3904935459
0.05,0.15,"Field inspection role requires human judgment, site visits, and client interaction. Limited AI/ML involvement evident. Physical inspection tasks difficult to automate fully.",1,3904722294
0.05,0.35,"Claims adjuster role involves judgment, negotiation, investigation. Minimal AI/ML work. Moderate automation risk due to routine document review and data entry tasks.",1,3900947165
0.35,0.2,"Role involves platform/product management and technology strategy, not direct AI/ML work. Core duties are strategic planning and cross-team collaboration, difficult to automate.",1,3884919161
