year,industry_key,industry_label,n
2024.0,farming_forestry,"Farming, Ranching and Forestry",121
2024.0,insurance,Insurance,300
2024.0,legal_services,Legal Services,300
2024.0,patent_ip,Patent Analysis and IP Research,93
2024.0,pharma_chem,Pharmaceutical / Chemical Manufacturing,300
2026.0,farming_forestry,"Farming, Ranching and Forestry",300
2026.0,insurance,Insurance,300
2026.0,legal_services,Legal Services,300
2026.0,patent_ip,Patent Analysis and IP Research,300
2026.0,pharma_chem,Pharmaceutical / Chemical Manufacturing,300
