p_exposure,p_automatable,rationale,raw_ok,job_id
0.04,0.71,"No AI/ML content; tasks are routine paperwork, data entry, and document handling, easily automated.",1,3906202183
0.05,0.7,No AI/ML duties; routine manual lab tasks suggest high automation potential.,1,3905254228
0.04,0.18,"Managerial maintenance role, no AI/ML mention; tasks involve supervision, not routine, low automation risk.",1,3895550294
0.07,0.25,"No AI/ML mentions; job centers on judgment, client relations, low routine automation potential.",1,3906200470
0.09,0.24,"Role focuses on sales & market analysis; no AI work, tasks require human interaction, low automation risk.",1,3888821714
0.07,0.45,"Logistics coordination, no AI/ML mention; tasks routine but involve judgment and communication.",1,3905299409
0.04,0.18,"No AI/ML mention; tasks require human relationship building, on‑site visits, and nuanced judgment.",1,3903475910
0.02,0.13,"No AI/ML mention; role requires complex clinical judgment, low routine automation potential.",1,3889759495
0.05,0.2,"Agronomist duties are field‑focused and advisory; no AI work mentioned; tasks require judgment, low automation risk.",1,3900942928
0.05,0.34,"No AI/ML mentioned; tasks are physical monitoring and maintenance, partly automatable but require human intervention.",1,3905854526
0.04,0.32,"No AI/ML duties mentioned; tasks are mainly manual inspections and compliance, somewhat routine but not fully automatable.",1,9f3dae60136c
0.02,0.42,"No AI mention; cooking is routine but requires manual skill, modest automation potential.",1,351a84addf7f
0.08,0.22,"Managerial, no AI/ML mention; tasks need judgment and coordination, not routine automation.",1,8af56e0e8b7e
0.07,0.42,"No AI/ML mentioned; role focuses on client interaction and cash handling, moderately routine but human‑centric.",1,eea3867f79cf
0.05,0.15,"Sales territory role, no AI mention; tasks require human interaction, low automation risk.",1,7d8bbd5f8f5c
0.04,0.42,"No AI/ML duties; tasks are routine service and inventory work, partly automatable but still need human interaction.",1,e0f606d1a2f9
0.07,0.18,"No AI/ML mention; role needs expert, non‑routine environmental remediation judgment.",1,e094f6a71469
0.07,0.22,"No AI/ML tasks mentioned; role is supervisory and coordination, not highly routine.",1,9ca9f5e9bc3f
0.07,0.32,"No AI/ML mention; sales tasks involve human interaction, some routine parts but not fully automatable.",1,5cd3ab0c3a55
0.02,0.35,"No AI mention; physical, routine tasks may be automatable, but human handling needed.",1,d9099f71cf65
0.07,0.45,"Mostly routine client service; little mention of AI/ML, but many repetitive tasks could be automated.",1,3884438190
0.04,0.38,"No AI/ML duties; routine triage, routing, and communication tasks could be partially automated.",1,3904935459
0.04,0.13,"No AI/ML duties mentioned; job requires physical inspections, expert judgment, and client interaction.",1,3904722294
0.04,0.34,Adjuster work requires human judgment and investigation; limited AI use but some routine claim processing.,1,3900947165
0.09,0.14,"Senior manager role; strategic, design, partnership tasks; no AI/ML mention; work is high-level, non‑routine.",1,3884919161
0.12,0.14,"Management of data transformation, no AI/ML mention; high-level, strategic tasks not routine.",1,3898162867
0.04,0.18,"No AI/ML mention; role requires inspections and judgment, not routine, highly manual tasks.",1,3901357011
0.04,0.71,No AI/ML mentioned; sales outreach tasks are routine and increasingly automatable.,1,3905831703
0.07,0.26,"No AI/ML keywords; role needs custom design, analysis, and collaboration, limiting routine automation.",1,3904932799
0.12,0.14,"Consulting, client strategy work; no AI/ML mention and tasks are non‑routine, high‑skill.",1,3904362586
0.15,0.1,"Senior underwriting role; mentions data-driven innovation but no AI/ML work; tasks are judgment-based, not routine.",1,989f28775547
0.04,0.14,"No AI/ML terms; work demands expert judgment, client interaction, not routine.",1,7082edb64865
0.08,0.22,"No AI/ML duties mentioned; tasks require human judgment, limited routine automation.",1,eebf295833f6
0.04,0.46,"No AI/ML mentioned; financial analysis tasks somewhat routine, partly automatable.",1,6bb7bb0b6df7
0.04,0.22,"No AI/ML mention; tasks require human assessment, device fabrication, and interpersonal care, limiting automation.",1,2c2a88a53486
0.08,0.32,"Real‑estate asset role, minimal AI/ML mention; some routine reporting but core decisions need human judgment.",1,ff5ee1036c35
0.05,0.2,"No AI/ML tasks mentioned; role involves coordination and analysis, not highly routine.",1,9b0b18d50910
0.04,0.42,"No AI/ML mention; underwriting involves judgment, some routine tasks could be automated.",1,de28f0b8dcc4
0.15,0.62,"Job focuses on Excel/Power BI pricing analysis; no AI/ML mention, routine data work could be automated.",1,3067fd54cadf
0.52,0.12,"Mentions AI tools but focus on consulting, strategy, client interaction; low routine automation potential.",1,64494a1e89bc
0.02,0.1,"Litigation attorney duties are non‑AI, complex, non‑routine; low automation risk.",1,3900066913
0.12,0.46,"Mostly admin/reporting; limited AI use, some routine tasks could be automated but need human judgment.",1,3895210680
0.07,0.32,"No AI/ML mention; tasks require judgement, some routine aspects but not fully automatable.",1,3884436762
0.04,0.37,"No AI mention; tasks are mostly admin/legal work, some routine but require judgment.",1,3889709873
